科目コード,科目分類,メジャー,IS履修区分,NC履修区分,XD履修区分
#ISメジャー
S1407400,専門,IS_XD,選択必修,,,
S1407410,専門,IS_XD,選択必修,,,
S1408230,専門,IS_NC_XD,必修,必修,必修
S1408240,専門
S1407610
S1407620
S1408250
S1405850
S1408260
S1408270
S1400910
S1407460
S1408280
S1408290
S1408300
S1407210
S1407220
S1408310
S1408320
S1408330
S1401370
S1401580
S1403290
S1408340
S1408350
S1400580
S1408360
S1405860
S1408390
S1408400
S1408410
S1407700
S1408420
S1408430
S1408440
S1401870
S1408450
S1408460
S1408470
S1405190
S1405150
S1406210
S1405160
S1405740
S1408480
S1408490
S1408500
S1401120
S1408510
S1402320
S1407250
S1407260
S1408520
S1408530
S1406860
S1408540
